"","GeneSymbol","Mix1","Mix2","Mix3","Mix4","Mix5","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"19","CD37",6075.778917,4357.798294,2258.01783,5129.068446,1841.773543,13247.62405,11610.29035,802.2248179,4472.430176,2997.964479,4287.536344,865.4159386,3602.317619,4831.809557,1823.236151,2090.502205,1604.568691,4508.112105,1453.500603,340.0169777,2337.797784,408.0617171,99.31070429,783.7092702,1104.720671,1908.23192,3204.567177
"20","CD38",2058.771164,3070.425498,1370.698309,1494.295122,1692.033666,588.2648306,659.9477137,12117.94539,318.883456,296.2994306,205.305051,492.6276527,1145.360549,696.5074435,224.0112245,1418.265485,867.2194289,237.7018615,90.8542014,12009.36242,642.6104871,65.77761797,3371.628895,814.6736615,1366.953817,298.7045221,400.4888321
"21","CD3D",6123.141026,4679.324756,4022.950813,1827.359204,1250.928966,103.2248459,174.4025802,88.37677893,14396.85632,14916.803,12009.36242,7456.754789,18921.47848,12721.06851,11894.34724,250.8695535,243.8532814,79.18206065,74.30949816,26.01377304,12.22050099,106.1967153,132.5505719,40.77673955,13.20972496,795.027696,250.9974436
"22","CD3E",2507.458221,1943.38605,1231.472858,1224.159865,592.9618805,1233.172359,756.7993492,1163.254876,5787.182458,3554.437369,6370.192958,2850.795927,2993.594839,5302.45403,1748.883874,461.7145711,342.1231155,225.2808846,188.3816952,172.5351641,175.317922,195.4486787,276.20651,144.3993653,129.5942842,425.8648102,809.110134
"23","CD4",1307.604965,1513.315737,1662.78028,508.8447111,1844.074235,138.4573773,118.3512664,351.0163026,164.9509326,2495.269425,3710.379943,1725.414846,4363.016183,5524.681644,399.5375472,81.07568775,75.96955929,3343.906153,552.3052303,1574.336844,10105.34674,1340.751384,701.0986434,213.8663803,287.7837723,163.6390935,364.5571609
"24","CD40",829.716493,1144.937743,1014.636614,797.6893247,1822.036307,1493.347557,1328.267122,838.3890443,203.0571538,119.8051169,168.9573287,169.3131278,129.5124355,338.6601465,269.4014427,164.1619074,204.8063535,298.5733076,1146.591678,12966.60573,643.639203,1598.408075,4943.303284,111.7010328,416.0597275,204.0560124,275.5927662
"25","CD69",4169.868928,2894.707397,2343.121654,3474.360732,1544.596561,8246.962733,5037.059721,131.1507128,3798.407191,4397.041606,5489.202469,1071.887678,6081.160743,539.3938343,4572.324665,1781.265844,5471.704926,66.10288756,31.65121441,59.02137051,28.81247015,39.31238934,69.45698718,440.3983738,1484.634024,6363.149838,436.4221698
"26","CD79A",4393.288488,3267.003814,213.5131726,3718.601542,212.9665358,12117.94539,9835.923,3860.541888,425.4456431,183.3771612,161.6033691,97.84605147,437.0541054,424.1217962,196.7666923,149.4947867,139.2030869,174.974517,124.5658582,108.8170218,63.57950923,138.9136781,189.639752,61.91581828,118.775806,511.4149111,261.960019
"27","CLC",186.9276847,789.3263113,286.3565868,4586.063481,5126.618648,317.0133169,263.8099578,158.2726851,91.38509289,21.54663623,110.2519917,184.5831263,91.98053835,38.52410842,337.9147534,509.9159527,237.9275689,86.56595204,69.27115976,226.7134742,172.4089256,98.81299309,102.2341069,3917.54615,3098.629915,26617.23891,4605.247829
"28","CLEC7A",292.5675625,636.4431356,1357.625886,1289.595016,2364.240374,148.8556127,142.0062175,58.64250526,86.04241069,106.6702025,89.98404196,50.52462737,936.3792246,94.16503856,628.3365071,143.1492688,89.37299011,6165.953009,3760.306028,283.2038076,3071.447657,5359.771755,1178.503785,634.4501909,1330.094243,159.5272392,5247.49398
"29","CPA3",394.1205809,926.1532376,750.9258866,3988.233574,3070.625912,786.5967435,653.570348,431.8870773,147.6958112,25.20265438,243.2991012,226.7134742,148.1833551,145.5265348,271.5067499,458.1363071,308.1273629,135.1465191,139.386735,247.6828366,206.9088618,132.4987072,149.4195584,28290.30984,22328.97153,1091.417527,522.5988941
"30","CST7",1624.936464,1292.241405,5420.807862,1327.737823,2287.371585,29.71165699,21.33475082,14.02145998,5181.597893,197.8545424,1470.064999,746.2695012,322.0620463,1323.231227,12102.63842,11514.68497,10179.78364,63.6732263,254.880064,186.8061087,292.5617552,1490.444911,4059.440795,2285.360966,2487.597945,616.2101884,2347.728878
"31","CTSW",1143.566314,663.2163203,3577.425157,372.8736092,634.9995688,16.65790643,14.10507421,16.31812595,4894.215252,487.0683652,963.2767736,23.08754551,14.6382422,12.83317361,4144.004572,6980.778276,10811.41236,16.93731154,15.94992913,13.08202394,26.76355546,16.23954329,15.8711173,119.4688824,272.4656742,41.78979254,20.49140221
"32","CXCL10",690.2686735,1605.492289,2155.580797,717.9277328,3681.523105,761.3944185,395.6381026,246.2438258,157.22658,120.4987696,152.9758784,529.512254,127.9224652,256.6183684,488.5453368,201.1109308,1510.914551,500.9300164,163.1981892,31273.67963,278.3434035,163.7176364,11302.3948,112.8085953,313.9187307,332.722032,486.9671286
"33","CXCL9",690.8953126,1826.557382,2223.509731,390.9729694,3858.828979,597.5841917,438.2088306,268.3992061,125.8362376,77.45884479,151.5042347,259.4612394,143.5770588,159.2182742,220.9114526,186.9242102,590.3615841,265.0825127,168.4971354,38944.01868,199.4359175,179.9813131,2918.819703,123.5555835,99.76021313,193.9209434,403.0543959
"34","EBI3",232.845385,856.2659917,1126.11092,220.5310958,2228.147891,10.50267123,16.93649086,8.897758981,12.21399038,15.05714204,11.53252065,119.0986128,11.63480358,164.024998,8.368172831,10.01431702,16.85549775,12.4947299,13.18836854,20437.69231,311.2058679,16.81680477,6496.243408,8.959876311,134.9737807,9.497299095,11.62603766
"35","EMR1",388.0876638,884.6573089,613.9936483,2414.64371,3054.122567,499.0111023,383.0612119,194.3869003,195.8964573,428.0646447,312.812165,400.2184096,182.9389251,335.8350828,447.9667425,348.0789413,188.5213167,1815.513906,203.312067,3528.214438,404.3935503,178.6781861,237.420847,287.3791829,248.1729828,16330.70798,1253.613443
"36","FAIM3",5939.068467,4659.837224,1752.517878,3860.205139,648.049611,11191.41447,8362.288551,254.0902643,5723.984822,8841.004838,5134.615329,1145.360549,7380.970003,4680.731681,1866.749257,2548.903709,478.4201622,117.871065,315.0175529,53.69761011,157.4129632,147.2831703,49.08029322,58.68422735,45.15325264,488.4465999,735.0353714
"37","FAM65B",2919.618803,2217.698832,1185.922839,3629.396036,2364.491279,4719.699579,5267.741473,237.5875518,3376.093302,4454.485846,2808.159439,256.5379971,665.2076215,910.8875823,2376.662113,1586.716996,696.5310083,2428.861545,92.82935445,193.0268711,86.87890188,136.2081634,126.2864186,187.4701407,170.8249765,2755.053484,8329.197426
"38","FCGR3B",216.7693251,234.0065663,306.2967974,4890.132853,5701.963368,434.6883898,191.9423831,121.1090782,178.1993614,61.46749025,133.7448215,106.4982845,64.11513732,203.850527,446.2450155,494.7560439,369.6606901,402.4458452,256.3156774,154.0822062,155.6717837,158.6201963,125.0983352,290.4715044,123.6149676,321.0470841,27546.9664
"39","FCN1",593.1959139,1655.658237,4112.670368,1083.661232,2146.981448,160.5487443,92.91123613,109.9311142,130.0754644,144.5883358,98.71765801,63.37271678,116.5979064,122.2714734,5094.70768,465.2336051,121.8089713,29800.42108,1401.079575,306.8296547,593.0958939,121.7194027,120.9633626,483.4804269,562.6779332,168.3568238,5370.355855
"40","FPR1",417.1686908,858.9379203,1482.519025,5442.04966,6600.954396,361.3212533,387.2639146,343.9217634,210.2034137,161.9808797,240.3083941,161.2444569,248.213136,222.4633603,911.9483813,397.2639649,303.3669097,9800.634834,880.9211063,801.8866109,408.5415267,281.0707287,222.4014754,660.8588777,716.9951177,3809.534017,27644.58995
"41","GNLY",1681.330421,1807.532627,8667.134233,286.9932995,1489.527715,9.016559093,14.52025513,19.25302109,3732.536058,134.9186388,1198.37505,233.4211369,12.65987353,24.36657201,8201.567151,21760.60028,23235.35012,19.94743339,16.57744727,20.40693277,15.74284151,22.37056888,21.45038814,26.17106781,18.37211337,24.52606794,118.2602821
"42","GPR65",797.4339155,849.8527425,1437.860066,1952.33236,2284.74568,507.5709281,490.2704567,162.813157,1518.573945,572.3060778,1499.931247,850.211608,252.2799806,608.4463585,2511.23381,2138.331722,2137.237334,1473.160908,702.0291957,263.7450621,993.5543835,607.4918095,155.0751578,1700.97754,1507.86671,8034.40209,2530.19965
"43","GUSBP11",7100.331199,7355.652878,436.3674454,5119.266732,170.9318363,8048.07448,10388.03123,30254.0679,521.3361484,587.5664324,151.2654723,9.073509293,447.7619209,268.2718711,15.07275333,311.6532884,98.43888337,43.51505491,6.401562035,14.61435957,286.719961,9.045254731,9.611149339,51.74630466,22.89358188,371.5811685,277.7647569
"44","GZMA",2346.604073,1401.496856,7968.466844,643.0780178,1574.657215,204.958358,217.1903236,91.85142742,6301.839315,440.9534741,4034.52042,1173.96483,130.7405303,318.1893547,14188.10221,13660.47953,22380.29444,132.0433731,95.37711154,109.7080589,68.0390322,93.29389844,128.6984558,50.07477091,68.27005989,150.5888289,334.8696127
"45","GZMB",2566.498589,3520.08042,8028.325622,943.8103,1704.779812,102.255299,68.32230989,62.71521001,2080.697741,85.36127082,58.9177582,21960.79819,64.03542312,53.64876826,6018.578754,15276.85279,23235.35012,61.71915165,136.87295,159.2974346,111.0281937,30.67820522,82.17563279,947.0769465,5600.547397,226.9706864,154.330993
"46","GZMH",1782.720162,1105.517462,4591.722624,571.2141853,954.2752736,21.35853068,33.95743123,41.24636078,8555.821981,198.9335618,630.7749174,896.7120375,26.30390688,79.31202778,10428.44501,11889.00904,7419.827913,36.90093477,24.82219085,15.89364427,14.88173325,17.75887232,26.34630303,17.9815414,19.61378309,52.48247611,41.85793547
"47","GZMK",1998.226231,507.7935289,2347.055581,824.9577237,844.6672965,184.0395826,278.1808222,100.8148697,8814.387272,1423.65694,3724.329794,187.7181578,119.8476496,51.85294841,15903.70006,1967.19369,233.6749633,67.13748264,69.54165218,107.0724606,24.66700128,79.45607344,81.98912286,38.19756342,76.14236186,151.2474716,421.2121304
"48","HCK",454.4943769,1103.64529,1951.060594,2198.798256,4244.600149,273.5706061,489.3443473,130.5834263,106.4569423,107.2851313,80.31784648,81.79892574,43.76861448,75.08844559,737.406205,391.7033029,184.1658664,7368.002228,3576.179245,8146.586422,4811.755806,4370.59343,3772.369126,616.1411859,834.9287387,3730.856433,7443.161769
"49","HLA-DQA1",612.4058572,826.7356201,855.4301928,844.0504798,2066.805608,942.7749076,1379.121703,161.7246112,173.4117383,122.6942485,106.9349988,167.0688665,89.17794598,621.2518682,356.7324528,219.2102706,214.9325691,275.3534268,874.2342868,4169.716387,5225.867112,7712.247914,6417.316621,190.2949934,390.0099509,68.2343922,218.2099668
"50","HPGDS",150.528005,578.0167477,526.195245,2896.545116,2274.004673,203.7910498,224.547027,125.9523542,83.72110944,88.13751751,182.147041,92.78922471,56.70706623,219.6942345,118.9847774,177.6752993,148.3391263,36.75265198,239.7846459,64.8769987,138.6741034,195.4447153,125.1233721,21760.60028,17743.45795,256.5193159,219.1322864
"51","IDO1",531.6521244,1342.931522,1882.194687,1037.176992,3827.468731,241.0650179,312.4524995,345.5621343,241.3331484,192.0869901,248.9097098,201.7392421,241.4925332,91.27779079,183.5919996,667.1972433,671.6285143,269.4662793,338.8974249,26473.42255,91.36792646,131.5732395,20536.85787,207.8915127,164.8463693,1389.417624,527.4082419
"52","IGHD",4934.922932,5935.254344,239.3391369,3774.165992,92.45912252,10811.41236,2526.481303,21173.52695,62.3476822,125.466199,26.14159933,21.20380232,135.5693196,28.36731347,27.10540257,32.58210537,21.68739568,50.4303708,44.70050298,97.72702921,106.3962528,78.42668997,56.63839916,32.60266038,30.03853946,257.5071029,79.25564732
"53","IGHM",10412.62838,10297.11001,562.1560335,8045.200517,213.1486204,21960.79819,14250.20741,31273.67963,361.7379219,46.93569691,156.9391502,260.5780432,2116.005563,593.8569709,226.0772361,162.309451,134.8648186,127.0436672,32.10709446,32.67724104,26.51832445,44.41793335,41.25586808,70.02577331,41.64994169,834.002996,98.13122154
"54","IGKC",15007.15084,12599.43186,811.840831,11577.86801,369.1549548,27164.52012,30254.0679,36524.44074,3097.474216,489.1798399,40.36292074,67.88787751,329.5978842,351.6837529,2059.744494,324.3571791,121.6124805,318.0695055,78.07530888,235.9541063,170.8361038,64.18688874,223.333702,100.706419,162.9166765,1108.467068,119.9968023
"55","IGLL3P",8264.555431,9546.209545,523.4823733,5684.863396,102.6522586,6633.535586,8962.420222,42851.28444,217.4652812,18.00926412,41.51758679,96.40860336,50.27476208,551.6984117,36.19278033,33.45486904,62.78986393,70.0394246,45.93797103,157.7551766,102.1260256,159.0326323,142.2968228,37.36510829,56.06416798,80.27971882,83.43489613
"56","IL1B",309.7492553,424.9655176,686.4803813,2550.757818,2542.146607,508.1423339,364.9197528,198.7896427,144.2186891,136.961868,251.1017935,200.4208119,204.2875485,284.0853434,352.1592413,250.0432905,241.5910262,1257.182131,1273.463059,675.1218227,291.824541,437.0700597,2781.903216,3282.430504,17770.60586,1137.887994,3099.346146
"57","IL2RB",3938.407325,4129.5192,9247.784478,1355.201796,2225.492136,2118.459057,1945.518804,848.6873784,4000.216538,818.7927424,2988.605281,7562.491571,7279.249666,12662.47545,10958.76994,18026.39249,19190.61594,321.9612928,294.5506048,221.9788101,172.9682935,246.8795571,366.1434094,341.9687806,442.6048403,381.1943018,1044.851269
"58","IL4R",3033.202909,3392.825104,1344.437507,3552.527911,2000.509166,11009.29392,1883.66674,291.1304361,884.659355,2125.328314,1148.814515,864.1960215,414.2300341,3102.322518,913.5881164,851.30019,1609.901147,1192.215763,1054.288345,3007.592556,846.6140012,1093.752458,2410.484546,3106.475575,4652.787414,1117.612583,2809.100785
"59","IL7R",5310.770862,4127.303595,2059.751364,2473.653761,1370.735098,277.7164299,454.5504216,126.0983758,15195.16858,19513.31337,18085.9446,1965.113683,3066.253514,507.1604755,2118.827609,1159.340489,341.6294609,163.3050166,5078.293455,2163.365124,85.59144108,2156.179359,7799.647099,36.56114051,325.7294175,358.0842541,742.6718185
"60","IRF8",3462.454312,2892.082656,2089.404304,2973.185006,2233.776416,9506.386392,7886.092193,218.3135972,350.3493603,279.6879535,45.41225697,487.5663213,610.5494813,196.6158219,992.3568261,1625.377439,2594.872072,2458.705658,1929.656915,12117.94539,3495.416283,1652.355711,2798.258545,363.7262259,798.9447795,519.9851623,281.068165
"61","ITK",3591.16909,3204.123882,3285.941627,1334.033649,1047.330362,468.9985735,409.7558423,192.2179775,6471.889098,9578.936337,7704.627853,3954.854034,9006.839826,7176.363772,5787.063934,3056.935046,3981.741268,124.1014103,115.0222464,90.2244571,71.26574474,102.079759,166.1778128,1344.476541,1083.589895,654.6984165,380.4695205
"62","KLRB1",2831.92644,1310.936004,5201.882743,898.4771128,1219.97515,119.5727193,241.3252476,39.37347577,8818.269216,317.5656356,10026.23944,500.6894521,4477.729529,1259.996581,12634.61161,12957.39238,5576.724303,90.24623781,26.68511703,33.3990692,13.5124231,94.79879985,37.00213293,37.48705237,72.13784357,276.4397193,322.6159656
"63","KLRK1",1590.266872,947.4890685,3125.495768,775.4204318,726.9104018,670.2708554,280.4713279,77.84292347,8228.460511,353.8455751,276.2455792,69.14462123,105.1489388,44.32349787,5199.517616,8790.503534,5454.73273,78.91616578,44.14759366,38.56086836,62.47198947,71.21203215,47.2591819,88.01964485,77.98871131,441.4201255,246.4439838
"64","LAMP3",303.4476676,875.0596681,1312.351238,902.5808079,3008.310983,47.28278554,46.66817965,128.4317353,134.7841361,120.9265077,160.3048593,368.6319956,165.5835013,264.0396917,132.2010638,210.8261404,418.7096295,38.76231871,316.7767691,17116.19562,113.1413857,1014.136741,23356.30643,81.94628982,130.0600242,540.5707204,320.9232259
"65","LAT",1956.259484,1757.694652,1809.996659,1016.274909,881.2685234,157.4129632,133.1507052,111.4231016,3224.978584,5669.605245,3282.260737,1447.742457,8480.619457,3200.697142,2738.316414,1722.578313,1262.245177,239.5833162,603.6863585,162.813157,181.9526719,205.2650782,218.7467931,3738.758621,2477.465096,405.7028156,209.6546017
"66","LCK",3695.346097,3006.147829,2993.658726,1161.5195,725.9136191,337.4400897,327.1096376,40.80982734,8763.864592,8948.349603,7786.120969,4042.377012,9578.936337,6736.744097,4299.610023,3604.565205,2808.159439,80.75884433,64.45522652,25.99553349,22.85969301,43.79168499,57.6156067,33.89599017,20.84968098,245.2328838,186.8691266
"67","LRMP",1339.603697,1115.966352,677.6788933,2290.335004,1868.622611,2106.83981,2947.585258,1042.751166,631.9125478,861.6605651,327.4987971,185.1858088,2003.326231,135.9692767,613.0798899,1245.630394,436.5800269,1048.681062,155.3040258,38.79936244,773.4916653,535.9059585,114.6747087,727.1797268,621.2830904,6331.426168,3231.634624
"68","LST1",319.1331041,780.3544323,1448.977301,2591.68114,3840.595846,29.98420127,20.94422774,39.94821809,520.3780954,264.6015763,332.3730932,131.0995558,36.87140683,71.2981542,1394.203591,672.9594285,291.3221307,5975.189254,2191.478522,2243.545374,2286.079952,3691.087351,946.6004764,1224.997584,1641.972335,4186.037105,9953.015759
"69","LTB",8941.888454,6764.266104,5837.266594,5766.912791,2620.357194,10351.64143,12117.94539,106.6290931,9829.724672,13247.62405,12009.36242,5257.453469,9725.14216,17485.2086,3372.608476,1009.906661,16862.16904,321.3564756,127.317149,116.2863022,161.002021,184.5481051,112.0607213,222.2586327,400.9057785,2136.992363,5458.249488
"70","LY86",2926.711779,2088.113039,1326.296932,2567.923014,1532.613959,6947.982466,7763.972248,815.0088739,382.951912,398.8717851,198.5520941,176.7444504,208.4980914,379.3366843,1584.314572,243.1158973,224.0756082,5218.063407,1832.781159,1246.621776,6395.572444,1997.214217,601.1020453,297.4214468,221.121219,654.4709644,691.7851206
"71","MMP12",296.1102411,903.9055881,532.9502012,967.6442164,1875.723482,746.9258791,488.893271,163.9010445,79.27159307,52.70903607,114.8747346,105.1489388,81.69270078,265.1392895,233.2582309,98.16379,84.9536497,95.85109514,243.058639,399.1895721,221.5740634,15992.46965,3929.353984,207.7939338,2823.785573,241.2406344,296.4122687
"72","MMP9",928.252259,606.9026239,3907.842971,2746.408005,6395.340581,338.94428,388.1056494,357.9745698,286.9137339,359.6153524,395.4202673,258.4783862,424.4791722,396.8938938,338.8946519,688.2490954,284.1304512,335.4295326,38944.01868,2727.981464,16386.05747,3188.623948,2899.726139,1191.482432,12655.47888,635.0862911,6429.776491
"73","MNDA",346.2319451,1101.058084,2280.703862,4685.962105,6650.45783,29.5032353,276.0791648,5.02270779,50.81863936,9.217386051,8.750532337,4.525700455,13.50066477,38.28622427,2157.226727,790.3716005,301.3206314,11447.56145,2609.874357,4016.523813,1867.617958,4559.644609,2133.559627,2154.019115,1279.186504,3154.581987,22598.07416
"74","MS4A1",6232.029124,3795.155875,186.3633137,5395.230202,230.0865249,18085.9446,17478.14564,396.3913895,343.9223112,52.22897356,220.8581711,125.466199,112.2871276,272.6999955,505.1556973,193.3316222,177.3861387,128.6338935,31.97803261,94.49057817,64.19016147,64.56613288,122.1899811,80.29122433,52.09389632,704.4005013,274.6589928
"75","MS4A6A",759.0464809,1018.311224,1951.012832,877.7383843,2778.015853,1102.971199,616.0957235,326.3520803,221.1962643,167.8644908,216.3694922,177.7168106,149.2510114,453.0762101,2149.718655,222.7095319,191.822788,8814.800982,268.5081463,402.5623243,16167.182,3743.66762,167.4361623,704.4355853,501.7726181,408.7375549,1136.619238
"76","NCF2",630.6920973,1710.029406,3456.840615,6077.241547,9799.009651,153.4955828,345.1359814,194.190923,62.34284219,225.0278308,88.17850315,60.47608557,68.81156687,425.6902381,1620.910475,483.3850653,168.835817,12280.85608,15650.12064,762.0351121,11487.88902,11149.65069,3147.592954,956.1678627,1619.076321,20110.62767,17226.82018
"77","NKG7",1951.995483,1257.246393,6138.064234,626.8222774,1203.372291,6.994769751,10.33850341,7.726182177,8640.630717,106.5387015,679.6910465,947.3726372,7.582193721,18.51226305,10086.41757,13911.17937,14574.73469,34.65463899,4.93466715,217.2245766,6.547727883,4.961302934,6.557717872,429.3526592,573.0034371,24.2643021,13.31565465
"78","P2RX5",4003.002509,2722.962771,586.6361499,3128.03059,218.639527,9725.14216,9116.674392,2524.75311,784.9884834,670.8311858,770.0178375,524.8550881,2876.602126,725.3438736,1108.125761,507.7460936,492.8199974,175.5409499,33.05027296,21.68739568,20.0115018,37.21278271,35.5352843,174.3664719,298.9924978,355.9021695,35.46460502
"79","PIK3IP1",2492.573757,2202.220464,1237.130639,1444.687433,784.4013355,2462.087898,1132.15121,728.3720212,5245.606657,5090.528151,4353.539533,461.309405,2315.263539,4814.01712,1330.849657,1203.06945,322.6103849,647.7544918,249.271088,209.4648222,1631.804333,295.0789727,259.7420759,557.4000388,310.2471426,780.1455706,545.6500777
