"","GeneSymbol","Mix1","Mix2","Mix3","Mix4","Mix5"
"43","BLK",879.5536506,382.100477,20.93157174,718.0666807,16.96897244
"44","BMP2K",178.594415,261.4064277,267.3812992,707.4461186,796.3084315
"45","BPI",43.35387769,123.5348948,227.9126719,193.1342678,206.0132879
"46","BRAF",795.8227236,778.0645235,293.9255884,895.0389493,460.3721657
"47","BRSK2",18.73612196,19.21885399,22.49013456,14.74975134,15.41134431
"48","BST1",96.8462346,162.2833529,310.7805006,400.6235836,515.7445438
"49","BTNL8",17.00293227,19.94739366,19.99770478,202.7904861,238.3909307
"50","C11orf80",506.1868105,577.1585222,129.3787144,389.9617811,108.1194359
"51","C1orf54",174.1278073,382.4571025,452.231446,301.9690151,948.0723079
"52","C3AR1",285.5756566,761.1002142,950.7378799,2058.587192,2907.443338
"53","C5AR1",184.8956726,397.7411839,1073.428439,2667.495421,3673.442368
"54","C5AR2",18.5803767,32.46652764,31.19267294,111.2943384,137.3845906
"55","CA8",28.58469526,21.05057857,33.22588432,31.92888873,34.45316798
"56","CAMP",97.39312771,210.2184748,363.0051635,376.1495404,491.86563
"57","CASP5",28.73174838,49.85824052,73.86389201,105.9900234,175.8710863
"58","CCDC102B",10.66845815,14.32684648,26.18738954,14.86822854,30.16163915
"59","CCL1",12.08380474,12.98985133,30.29618674,121.2209899,116.2915158
"60","CCL13",184.8185735,251.6421492,419.561939,472.3176409,1425.334062
"61","CCL14",118.2696605,145.6842866,228.3914177,148.6665455,517.1160054
"62","CCL17",80.62621011,195.6993373,215.7788304,300.6195398,646.1698874
"63","CCL18",199.5844181,161.7359153,741.4999988,339.1686473,1922.812838
"64","CCL19",430.5917682,1412.785208,1748.353522,196.9080838,3179.596326
"65","CCL20",135.9032517,203.1976272,177.2062765,524.4753955,541.7221104
"66","CCL22",91.89634803,263.3010587,692.7487906,1069.981592,2178.511981
"67","CCL23",89.39675527,93.0365068,268.3060637,242.2184839,875.4146876
"68","CCL4",2974.398205,3372.934154,11504.36736,5034.534056,7392.630077
"69","CCL5",2976.357645,2320.506676,8257.169142,1106.873895,3533.12846
"70","CCL7",62.01103475,62.98961362,103.5537872,147.321116,177.2552392
"71","CCL8",173.2680963,283.8694717,409.2120909,269.1110642,940.0676442
"72","CCND2",771.2669601,722.0090118,1531.391566,440.535803,463.9903539
"73","CCR10",182.0091989,197.9017492,74.40046598,143.8301236,79.73766157
"74","CCR2",547.8118106,635.4235379,567.0675826,373.2540329,241.0353776
"75","CCR3",71.53580204,220.893734,85.8823514,1085.33198,1258.133831
"76","CCR5",422.0808765,326.5863972,1051.628922,223.7987111,695.1703926
"77","CCR6",209.3297687,118.7780766,97.98083714,140.3154518,47.72651422
"78","CCR7",3297.292647,4029.248206,2136.519147,2132.000875,2769.159732
"79","CD160",475.5632652,387.7608998,971.8429338,271.4708161,333.5154397
"80","CD180",844.0944404,584.3996695,227.9936471,693.2409101,407.1893179
"81","CD19",2458.790345,1880.369423,136.1326998,2153.402549,190.1460537
"82","CD1A",535.6130974,1072.320301,515.411225,839.988698,1470.873735
"83","CD1B",386.3737146,1018.732928,475.0169479,792.3539707,1555.700574
"84","CD1C",749.6475138,707.1507806,294.9850223,861.7915354,910.5817174
"85","CD1D",188.1599894,259.1142177,379.8450024,148.5622058,159.0430902
"86","CD1E",54.6042604,411.4470348,242.1876501,267.0856388,827.1789514
"87","CD2",4491.010824,3948.573535,4390.837772,1367.761758,1254.388781
"88","CD209",79.30921482,169.140798,217.7187188,156.4095845,609.1957051
"89","CD22",910.7602335,705.5267556,68.52516807,844.4453248,115.5198623
"90","CD244",234.7427509,300.5411066,845.3892338,377.7516294,535.2852415
"91","CD247",3328.45929,3694.14186,7598.359202,771.4485043,1608.870819
"92","CD27",3602.59341,2900.820219,1404.246745,1787.074063,553.7361201
"93","CD28",537.5111994,539.3533623,388.4679659,206.6699859,185.2610507
"94","CD300A",485.1559847,686.1629589,2356.598707,1226.721158,1907.695771
"95","CD33",51.26895806,151.645842,279.0268618,160.5562027,302.7204437
"96","CD37",6075.778917,4357.798294,2258.01783,5129.068446,1841.773543
"97","CD38",2058.771164,3070.425498,1370.698309,1494.295122,1692.033666
"98","CD3D",6123.141026,4679.324756,4022.950813,1827.359204,1250.928966
"99","CD3E",2507.458221,1943.38605,1231.472858,1224.159865,592.9618805
"100","CD3G",1153.619336,791.2871737,565.457241,427.9338109,178.0834824
"101","CD4",1307.604965,1513.315737,1662.78028,508.8447111,1844.074235
"102","CD40",829.716493,1144.937743,1014.636614,797.6893247,1822.036307
"103","CD40LG",244.1168979,178.5334379,157.8141852,85.78875736,56.50222906
"104","CD5",809.510771,860.3863784,630.0501144,394.9025242,359.8270456
"105","CD6",916.6449059,737.2252262,644.163384,340.5748864,242.5550228
"106","CD68",81.35423236,139.1536076,396.6660713,117.8636238,626.8924347
"107","CD69",4169.868928,2894.707397,2343.121654,3474.360732,1544.596561
"108","CD7",1133.688983,1353.991277,1470.844542,258.7933132,397.2419331
"109","CD70",420.4191729,456.8964833,347.7715279,330.3165415,306.6887358
"110","CD72",301.7703632,307.0784903,27.43207174,275.7965143,26.64226666
"111","CD79A",4393.288488,3267.003814,213.5131726,3718.601542,212.9665358
"112","CD79B",2109.238991,1554.580131,275.0300451,1756.853003,168.0364893
"113","CD80",237.7340936,363.9995248,408.0222305,310.7411879,726.0180136
"114","CD86",313.3345763,371.6231575,541.1132127,430.862412,952.1239324
"115","CD8A",1382.794537,252.7608113,656.3364216,898.0764307,304.9436662
"116","CD8B",443.0135019,40.80078819,68.46217109,246.2850567,23.5517572
"117","CD96",817.167645,739.2715565,1285.200957,312.5288251,409.2428386
"118","CDA",31.10396306,91.54665277,187.8765111,678.5717135,855.8269583
"119","CDC25A",30.98386955,38.30258792,46.26307812,22.2054735,23.91224801
"120","CDH12",21.86459935,25.95929767,43.57233736,26.89619759,39.32104428
"121","CDHR1",32.42406048,44.45775701,67.26753986,19.33507142,26.68050939
"122","CDK6",42.21391287,33.72143421,75.05773527,35.03891381,39.44099041
"123","CEACAM3",79.88576752,105.3818331,137.4319401,442.4118911,531.8612192
"124","CEACAM8",79.53862162,158.6865782,244.1231708,381.065544,325.8619909
"125","CEMP1",34.38726782,39.59469005,51.57969098,26.99655602,39.33066282
"126","CFP",118.0202122,272.2147143,555.3150518,420.7063152,788.3126621
"127","CHI3L1",162.8406805,188.1950465,953.4865745,777.8945363,1771.924174
"128","CHI3L2",651.817754,480.6937561,565.4756024,358.838052,441.1858679
"129","CHST15",504.8428567,746.1364486,614.5475882,1366.224461,1483.754698
"130","CHST7",107.8406592,108.40483,181.4060548,303.9745493,470.7670181
"131","CLC",186.9276847,789.3263113,286.3565868,4586.063481,5126.618648
"132","CLCA3P",12.74465226,9.952332296,6.242257933,12.31053263,7.731792401
"133","CLEC10A",145.4723943,299.6710385,401.8902706,256.4456748,1140.259301
"134","CLEC2D",1074.520523,1075.223784,781.7582501,532.5260257,445.5963006
"135","CLEC4A",210.5800734,412.6106387,758.1153349,805.4926632,1882.505632
"136","CLEC7A",292.5675625,636.4431356,1357.625886,1289.595016,2364.240374
"137","CLIC2",63.98043111,180.0635407,290.0910302,243.5680129,841.8130754
"138","CMA1",58.98858353,91.50634362,82.64702278,275.6418167,231.2326422
"139","COL8A2",90.82297998,92.77656673,179.2623529,100.1685391,158.6562487
"140","COLQ",86.20611987,81.12418712,209.4847133,43.02115307,84.73817868
"141","CPA3",394.1205809,926.1532376,750.9258866,3988.233574,3070.625912
"142","CR2",436.781492,385.4527163,40.30088038,377.6525746,44.51195929
"143","CREB5",26.46975671,51.42624561,60.18860323,266.6639957,330.4294493
"144","CRISP3",41.92281277,85.17060495,88.99540354,30.94107337,51.27069681
"145","CRTAM",319.7466957,187.2111396,378.8995062,167.3794357,157.3743942
"146","CRYBB1",12.66980125,13.30103173,14.114002,13.88287867,28.39269216
"147","CSF1",47.64236016,59.97943265,90.30587131,37.15697609,75.45890517
"148","CSF2",118.4564585,158.5837536,208.4388783,173.3744653,158.035418
"149","CSF3R",102.1541225,226.5241469,419.1569375,1663.258167,2145.247778
"150","CST7",1624.936464,1292.241405,5420.807862,1327.737823,2287.371585
"151","CTLA4",455.5659092,616.2214664,471.0221636,63.30234175,168.3382244
"152","CTSG",166.0205081,291.3157469,249.9772722,926.5445701,727.1849742
"153","CTSW",1143.566314,663.2163203,3577.425157,372.8736092,634.9995688
"154","CXCL10",690.2686735,1605.492289,2155.580797,717.9277328,3681.523105
"155","CXCL11",140.7553254,406.5512454,548.9367468,170.5659502,1053.603566
"156","CXCL13",524.1158983,71.29285396,530.8340833,26.94683667,167.9250682
"157","CXCL3",64.0475585,71.43620324,255.651248,696.2134425,720.059383
"158","CXCL5",105.1945976,47.91190613,420.3071636,112.6731565,320.0722289
"159","CXCL9",690.8953126,1826.557382,2223.509731,390.9729694,3858.828979
"160","CXCR1",224.7864168,225.2322952,293.9039799,1133.086619,1271.532911
"161","CXCR2",65.77048345,139.5368707,325.1531904,3087.949081,3707.773465
"162","CXCR5",277.4941866,116.9825326,162.0707706,121.1260507,66.14600267
"163","CXCR6",267.0949859,292.7878087,306.2656407,134.6228446,156.6336434
"164","CXorf57",73.7680459,75.79812399,68.29592375,39.12454721,31.84712551
"165","CYP27A1",137.441598,123.0628008,818.8877171,221.8730795,680.2728505
"166","CYP27B1",440.5608914,645.2105766,572.2256028,415.2632629,926.514986
"167","DACH1",10.39728202,21.21947813,21.14272813,48.84269498,56.86905594
"168","DAPK2",43.23718398,69.01812859,56.44623017,267.3917527,302.1879957
"169","DCSTAMP",88.44132116,108.0297794,320.4051061,124.9403854,349.8976057
"170","DEFA4",317.9728656,431.6912103,662.6474898,371.4607422,382.6031882
"171","DENND5B",70.48617461,82.20179488,16.62973337,51.46745105,14.8575348
"172","DEPDC5",61.89948295,89.53356699,90.09632874,107.5102829,154.8360627
"173","DGKA",1286.899401,1099.417904,782.4513455,568.6147411,384.7879917
"174","DHRS11",77.32683353,120.2020174,102.7794192,89.60931727,172.0890179
"175","DHX58",72.8130776,139.5664921,146.0525666,77.36594378,250.9870588
"176","DPEP2",503.9641051,623.4469823,493.5179846,1544.088306,1862.85787
"177","DPP4",330.9163556,312.1165362,255.3434203,114.7158377,90.1950601
"178","DSC1",151.005143,176.9351229,37.46711769,93.85482094,34.6156387
"179","DUSP2",1086.488923,441.5596738,1069.40259,564.3762031,610.3481248
"180","EAF2",1627.311396,1717.407637,307.0646044,1393.466001,344.7288547
"181","EBI3",232.845385,856.2659917,1126.11092,220.5310958,2228.147891
"182","EFNA5",36.7372728,56.27236202,53.29377102,30.55886754,51.63049465
"183","EGR2",369.3091764,515.8763611,944.1769373,583.8982075,1271.086882
"184","ELANE",41.70974849,166.0355509,264.8313441,662.5941472,579.105225
"185","EMR1",388.0876638,884.6573089,613.9936483,2414.64371,3054.122567
"186","EMR2",129.3190453,337.2294734,425.9869816,1395.273962,1827.153633
"187","EMR3",99.05918717,196.9311754,110.0428677,1174.162714,1333.749045
"188","EPB41",96.77553349,50.61229104,69.59186462,56.869095,37.73625711
"189","EPHA1",171.6791613,186.0487864,92.37436954,98.58624568,57.34682079
"190","EPN2",56.01376169,68.00853841,37.25113799,113.8599002,113.2379154
"191","ETS1",771.2698818,628.0261595,486.5940492,487.9479211,217.6305039
"192","ETV3",72.62089417,46.35895936,62.1975258,112.9746282,143.8700391
"193","FAIM3",5939.068467,4659.837224,1752.517878,3860.205139,648.049611
"194","FAM124B",17.50079286,29.27814788,22.96618065,63.34879993,53.82848221
"195","FAM174B",102.4545096,115.4676553,75.30771375,162.6856282,125.3369775
"196","FAM198B",28.24412018,65.15885073,134.1251696,36.85812832,144.2041242
"197","FAM212B",49.37304746,60.51480966,38.08589474,147.9579719,152.3474797
"198","FAM65B",2919.618803,2217.698832,1185.922839,3629.396036,2364.491279
"199","FASLG",309.9986739,332.7746254,776.6257134,209.2014085,236.3661497
"200","FBXL8",56.83417517,41.65625596,51.122826,24.0842271,45.18596358
"201","FCER1A",108.5428486,338.9107941,321.5277862,1029.442587,1160.615493
"202","FCER2",227.4072638,257.4926774,60.26107795,232.7950658,152.3031713
"203","FCGR2B",1731.080812,1307.209085,325.5764621,1842.960742,879.2611169
"204","FCGR3B",216.7693251,234.0065663,306.2967974,4890.132853,5701.963368
"205","FCN1",593.1959139,1655.658237,4112.670368,1083.661232,2146.981448
"206","FCRL2",1460.644126,1036.361061,62.82020885,1256.856031,62.69903837
"207","FES",38.67928911,89.86634674,225.796563,172.55089,343.94565
"208","FFAR2",22.99317016,65.13214125,62.4027125,832.217217,1023.45003
"209","FLJ13197",92.66477515,95.98495938,50.058432,64.02568657,27.19699536
"210","FLT3LG",560.4304564,568.2725894,273.9655047,227.7387799,91.9464041
"211","FLVCR2",151.0580991,301.2012972,427.4175949,185.7888637,657.2130931
"212","FOSB",821.5237437,982.0813554,733.7131803,1262.477647,1236.748019
"213","FOXP3",201.6487303,306.4710849,220.7768901,108.6338958,159.7029457
"214","FPR1",417.1686908,858.9379203,1482.519025,5442.04966,6600.954396
"215","FPR2",126.8795317,162.3021551,201.6939207,780.4018895,897.6365851
"216","FPR3",227.1202063,404.7158469,579.2947739,479.5102809,1245.781231
"217","FRK",59.7527707,43.55249277,12.3810541,57.81840643,19.63947841
"218","FRMD4A",70.08772418,55.58745489,103.8530368,62.87755099,199.5108926
"219","FRMD8",169.9192905,230.0507333,236.3907241,138.4234381,197.2256784
"220","FZD2",38.11619729,98.61007266,139.3418614,77.39019306,247.3886694
"221","FZD3",123.5216247,105.6905131,70.34158728,88.58436432,70.05037656
"222","GAL3ST4",201.8330667,242.8511521,87.59817864,154.9811314,122.8951118
"223","GALR1",8.178041071,11.07109579,6.29828023,7.908512862,7.971854051
"224","GFI1",182.9725613,211.9428825,312.3735955,171.3173216,174.6203312
"225","GGT5",19.68712761,28.33275738,38.87777349,30.99716502,97.33435979
"226","GIPR",13.62144456,15.8914175,20.77255448,23.16819612,31.82476975
"227","GNG7",714.2681185,638.9858704,109.1127029,625.0243477,205.1306346
"228","GNLY",1681.330421,1807.532627,8667.134233,286.9932995,1489.527715
"229","GPC4",92.26342966,89.43151038,146.5257355,85.76217407,136.6815312
"230","GPR1",9.882704249,16.45548434,11.39878297,7.104351445,7.235656343
"231","GPR171",890.2085786,1128.499985,1417.444379,300.536673,643.3992291
"232","GPR18",1316.818739,1008.607182,802.4767119,920.7318443,222.6843769
"233","GPR183",1086.463289,751.1804488,597.2341916,1307.74303,1441.781851
"234","GPR19",95.56895026,117.1178319,86.19354227,65.19189407,69.86104609
"235","GPR25",42.61607842,38.45072518,20.32542534,28.61550998,16.48956136
"236","GPR65",797.4339155,849.8527425,1437.860066,1952.33236,2284.74568
"237","GPR97",137.7209165,236.4818345,188.2120266,1064.872574,1205.595611
"238","GRAP2",127.1205156,116.9896346,151.5479256,67.66222009,55.27873777
"239","GSTT1",25.58892353,53.68043233,60.39332222,87.4268537,175.7845306
"240","GUSBP11",7100.331199,7355.652878,436.3674454,5119.266732,170.9318363
"241","GYPE",31.92823334,25.63666064,22.62301782,23.40862273,13.74575478
"242","GZMA",2346.604073,1401.496856,7968.466844,643.0780178,1574.657215
"243","GZMB",2566.498589,3520.08042,8028.325622,943.8103,1704.779812
"244","GZMH",1782.720162,1105.517462,4591.722624,571.2141853,954.2752736
"245","GZMK",1998.226231,507.7935289,2347.055581,824.9577237,844.6672965
"246","GZMM",556.8374045,641.1450768,1344.832093,158.3004911,272.9284627
"247","HAL",207.9243506,187.3347005,208.6550597,689.8997823,728.0054731
"248","HCK",454.4943769,1103.64529,1951.060594,2198.798256,4244.600149
"249","HDC",144.1657308,353.5446961,315.894784,1564.781075,1297.881897
"250","HESX1",32.63622886,103.6735315,139.4564905,40.72785701,281.5920946
"251","HHEX",1343.872939,1138.553605,425.6050496,1547.290757,656.449393
"252","HIC1",11.53337459,17.15255353,20.68453641,7.699403189,12.12230433
"253","HIST1H2AE",64.86064224,76.36020842,23.21880686,52.70299331,28.04662989
"254","HIST1H2BG",154.4551622,185.0549835,60.25648728,101.4810626,45.14559677
"255","HK3",93.52487483,256.6771289,698.7893952,417.9352998,784.6668187
"256","HLA-DOB",2560.526051,2213.159971,252.8919981,2153.197436,328.1664612
"257","HLA-DQA1",612.4058572,826.7356201,855.4301928,844.0504798,2066.805608
"258","HMGB3P30",47.63871978,60.8005578,68.55196922,43.83561219,62.76377238
"259","HNMT",61.05611859,103.0598946,218.2327357,77.91938155,259.7617492
"260","HOXA1",11.61211192,26.51517878,22.95396902,91.9201749,72.15979724
"261","HPGDS",150.528005,578.0167477,526.195245,2896.545116,2274.004673
"262","HPSE",136.3074838,205.3394125,310.0907787,226.6525246,441.5468924
"263","HRH1",162.0532638,140.5843278,168.6169906,172.6953429,372.5683342
"264","HSPA6",110.240345,138.8144411,218.5003168,709.11475,858.5964469
"265","HTR2B",18.08936409,17.54118619,32.99164656,26.44008197,58.07036915
"266","ICA1",286.2074934,183.5779907,277.633047,195.7109375,225.2582373
"267","ICOS",700.2861725,435.6447361,534.8999873,82.43800808,109.3523749
"268","IDO1",531.6521244,1342.931522,1882.194687,1037.176992,3827.468731
"269","IFI44L",290.2696942,629.746645,812.9681445,201.0903548,1044.788386
"270","IFNA10",52.98235541,39.41054304,21.52222059,43.06720172,18.83194013
"271","IFNG",621.2726232,781.5629805,932.526069,223.0329921,199.4723034
"272","IGHD",4934.922932,5935.254344,239.3391369,3774.165992,92.45912252
"273","IGHE",646.7546185,922.1822897,69.94773506,416.7652305,33.48993324
"274","IGHM",10412.62838,10297.11001,562.1560335,8045.200517,213.1486204
"275","IGKC",15007.15084,12599.43186,811.840831,11577.86801,369.1549548
"276","IGLL3P",8264.555431,9546.209545,523.4823733,5684.863396,102.6522586
"277","IGSF6",158.1303714,345.9606335,928.4227493,940.1611008,1784.056229
"278","IL12B",71.90824995,83.13880556,104.0855643,150.3758342,227.7967263
"279","IL12RB2",141.402555,154.4222488,457.4983396,31.36459809,88.9313514
"280","IL17A",35.68784176,41.23932618,21.22320367,23.11052811,16.35886808
"281","IL18R1",185.0234838,239.8685017,542.1280776,571.1895257,638.5465277
"282","IL18RAP",515.9935544,624.2297752,2589.135939,778.1256966,1327.226938
"283","IL1A",118.5860617,157.8320936,145.6969693,598.7965078,607.7569206
"284","IL1B",309.7492553,424.9655176,686.4803813,2550.757818,2542.146607
"285","IL1RL1",91.00200696,120.2910515,97.59602663,339.6235075,319.9227917
"286","IL21",247.6715937,158.097031,143.5290006,176.3293124,108.2189736
"287","IL26",31.71983512,38.14482542,20.9254341,12.49182672,8.541325766
"288","IL2RA",632.4054758,1076.608879,790.6530061,249.5392504,676.5988081
"289","IL2RB",3938.407325,4129.5192,9247.784478,1355.201796,2225.492136
"290","IL3",115.0271419,185.679803,69.70566077,73.59918117,53.61889583
"291","IL4",37.48442102,40.78361003,25.91554519,25.88042587,22.59479904
"292","IL4R",3033.202909,3392.825104,1344.437507,3552.527911,2000.509166
"293","IL5",26.66535388,33.48008036,29.80895058,39.40821328,42.92013151
"294","IL5RA",90.28766457,106.9082002,56.48762257,203.3641051,190.6059712
"295","IL7",172.7630872,84.93741685,46.47395655,140.7058802,52.06964793
"296","IL7R",5310.770862,4127.303595,2059.751364,2473.653761,1370.735098
"297","IL9",433.1243496,685.0223787,227.2174774,101.5917845,28.08998899
"298","IRF8",3462.454312,2892.082656,2089.404304,2973.185006,2233.776416
"299","ITK",3591.16909,3204.123882,3285.941627,1334.033649,1047.330362
"300","KCNA3",522.7444634,461.3131896,317.9220906,297.5587381,102.1570317
"301","KCNG2",39.06382241,49.58418748,17.21552778,31.55374348,17.84040686
"302","KIAA0226L",2191.582231,1522.833548,100.3669285,2291.677718,602.5014531
"303","KIAA0754",34.32026745,56.04619406,98.77497648,25.23291167,86.87307725
"304","KIR2DL1",24.04254871,31.37514228,146.0004943,10.55601304,30.15098046
"305","KIR2DL4",242.0381634,244.135527,483.1561801,217.6951574,219.3537159
"306","KIR2DS4",420.8029736,383.4882396,844.6573243,321.1485526,268.4462321
"307","KIR3DL2",52.2872892,54.09940671,316.5805037,13.89954,61.85113063
"308","KIRREL",26.66496876,35.09151896,28.73685462,21.57911545,27.03639235
"309","KLRB1",2831.92644,1310.936004,5201.882743,898.4771128,1219.97515
"310","KLRC3",157.8975656,134.1200964,445.6565234,61.16260594,95.65143717
"311","KLRC4",72.71626567,51.17589504,81.36666657,49.26395469,30.44013859
"312","KLRD1",700.5856488,718.5041532,2755.408649,235.2996969,571.6641999
"313","KLRF1",663.8829716,916.5229636,3385.471823,161.1711607,719.9689684
"314","KLRG1",1325.559041,711.8553964,1194.012407,1036.560291,684.7244646
"315","KLRK1",1590.266872,947.4890685,3125.495768,775.4204318,726.9104018
"316","KRT18P50",41.12409666,48.81522231,46.3008186,53.27872053,61.10620011
"317","KYNU",296.4572839,484.338949,827.1137909,460.4905205,1422.163087
"318","LAG3",275.7863118,239.369966,353.5651172,65.36618823,229.4180545
"319","LAIR2",546.2292324,589.3241543,979.0243549,301.8552893,388.7216797
"320","LAMP3",303.4476676,875.0596681,1312.351238,902.5808079,3008.310983
"321","LAT",1956.259484,1757.694652,1809.996659,1016.274909,881.2685234
"322","LCK",3695.346097,3006.147829,2993.658726,1161.5195,725.9136191
"323","LEF1",548.1469377,591.7986706,184.7600756,215.6514296,56.10396463
"324","LHCGR",82.41086981,65.21297706,40.03872085,81.01730923,45.83654616
"325","LILRA2",55.51750675,136.8997143,325.7449333,482.3710045,688.0001267
"326","LILRA3",31.23822074,100.0297327,170.5800946,51.41037422,186.8737716
"327","LILRA4",66.43888315,79.38405484,66.44456111,43.65952406,53.62828142
"328","LILRB2",134.1206129,429.6902233,782.6488578,700.2670229,1469.950731
"329","LIME1",552.382126,451.2905632,259.5124407,257.337576,102.6853544
"330","LINC00597",24.07735469,36.4096436,60.47479653,59.27956718,81.11118145
"331","LINC00921",221.9152491,202.4608813,71.79090172,276.2695921,152.7342776
"332","LOC100130100",935.5663367,1355.564217,84.4874863,582.132841,15.10166132
"333","LOC126987",134.6024512,181.731777,116.0286858,96.07623366,96.79553872
"334","LRMP",1339.603697,1115.966352,677.6788933,2290.335004,1868.622611
"335","LST1",319.1331041,780.3544323,1448.977301,2591.68114,3840.595846
"336","LTA",297.4282527,359.4419514,630.8468092,51.76706054,91.67377937
"337","LTB",8941.888454,6764.266104,5837.266594,5766.912791,2620.357194
"338","LTC4S",77.85564381,112.3137429,139.4378532,286.6242619,342.9412828
"339","LY86",2926.711779,2088.113039,1326.296932,2567.923014,1532.613959
"340","LY9",725.3753454,548.2951997,320.54781,355.2816784,135.6400038
"341","MAGEA11",29.01951963,26.49273956,25.47234503,25.89392146,23.21440718
"342","MAK",18.15328995,26.29092694,20.57607029,251.0947207,301.3279553
"343","MAN1A1",747.8365643,980.9245519,363.3662754,664.2360213,438.398715
"344","MANEA",137.8834536,189.5336681,91.56436307,80.59988104,56.64946784
"345","MAP3K13",7.229558959,9.175544304,10.13705094,12.42075946,19.33898966
"346","MAP4K1",1135.235066,884.3592161,897.213123,441.8386942,335.4016175
"347","MAP4K2",29.86457311,43.88091556,16.33306425,16.03808704,11.53978886
"348","MAP9",34.98040933,32.02247481,23.81525421,15.59911257,6.626410618
"349","MARCO",43.39064226,31.86530549,213.3347953,16.32556966,131.6817705
"350","MAST1",118.5380974,168.5591044,18.22362738,81.1884734,14.35017562
"351","MBL2",38.14653745,32.99376925,20.11138366,29.36676357,15.21359319
"352","MEFV",23.26668917,42.4338811,76.35277763,164.0181631,197.4084243
"353","MEP1A",300.6661771,278.6103254,100.7753217,313.0128986,141.8708432
"354","MGAM",15.78238408,55.40574732,91.3088804,955.4717577,1127.434767
"355","MICAL3",161.3898109,110.1676261,53.76501444,139.5532052,38.48386407
"356","MMP12",296.1102411,903.9055881,532.9502012,967.6442164,1875.723482
"357","MMP25",194.3466215,279.8712457,321.3391078,1032.332372,1362.963025
"358","MMP9",928.252259,606.9026239,3907.842971,2746.408005,6395.340581
"359","MNDA",346.2319451,1101.058084,2280.703862,4685.962105,6650.45783
"360","MROH7",66.7363199,83.57819649,31.29116483,56.85368272,33.39647
"361","MS4A1",6232.029124,3795.155875,186.3633137,5395.230202,230.0865249
"362","MS4A2",123.0280574,197.3056517,148.2396381,616.5853147,475.9367038
"363","MS4A3",76.35201369,159.7532049,186.6030657,425.8435701,406.6372848
