,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,
354,-0.013084731,-0.085409162,-0.150907943,-0.337741984,-0.281336897,-0.285598357,-0.248332488,-0.293014214,-0.209570949,-0.253024761,-0.268393854,-0.237664294,-0.248205477,-0.12835652,-0.166032573,-0.208656277,8.83253771,1.337762177,-0.137356466,0.769208654,-0.208673165,-0.226371017,3.769055929
514,-0.28007813,-0.269761052,-0.169425275,1.172844611,-0.159245398,0.09489997,0.017917246,-0.151951262,-0.278644417,7.622412637,3.819166027,3.26236288,-0.266790906,-0.227255836,-0.270853973,-0.326089389,-0.281940147,-0.294669473,-0.119583164,-0.17746466,-0.244867788,-0.273941387,3.757551482
61,-0.283992116,-0.243270879,-0.123146794,-0.338590406,-0.289769651,-0.316397309,-0.259053182,-0.309001863,-0.3227275,-0.347137105,-0.263901191,-0.218608519,-0.237693628,-0.18812856,8.777348022,-0.258948732,-0.210945753,0.96911555,-0.213619845,-0.24620536,-0.251132953,-0.289832373,3.73626757
80,0.231813159,-0.153483432,-0.097923749,-0.349884095,-0.297535375,-0.241249575,-0.289933686,-0.322422098,-0.313903116,-0.24452306,-0.247479954,-0.230035905,-0.193552919,-0.164168438,-0.255900284,-0.261838227,8.819426981,0.67633779,-0.174985702,-0.195613876,-0.267791619,-0.204949706,3.723741337
450,4.183887427,3.31179143,-0.08813518,3.439409534,4.911521724,3.704974251,1.44399975,1.714288636,2.199777936,4.340908529,1.88763467,0.228829965,3.565066439,-0.192980455,-0.211930019,-0.169585775,-0.238892719,-0.249908693,-0.071673313,-0.148609998,1.116476223,4.530531344,3.588001568
372,-0.312982278,-0.30177951,-0.196933042,4.068164487,-0.252675265,0.0368706,0.339102392,-0.329240404,-0.330830832,4.119405559,5.008854046,4.251525771,-0.280857268,-0.238955262,-0.216643608,-0.336635213,-0.305764449,-0.304661382,-0.037814265,-0.045684279,-0.312843658,-0.326654759,3.30844962
319,-0.179051241,-0.158556863,-0.187183214,4.131583965,4.455151354,4.094124261,2.497808597,4.34936339,2.972343261,1.551456346,1.071223075,0.606032953,-0.256258051,-0.211310423,-0.269831309,-0.326926691,-0.283569385,-0.283284111,-0.215485568,-0.245590875,-0.206756484,-0.265175424,3.288416352
75,1.228931299,0.570252433,-0.139407145,2.232783919,4.370091069,1.186640975,1.690644701,0.57552773,2.777250152,-0.138735929,-0.048982092,-0.114515094,-0.21118503,-0.088814233,4.553303258,-0.266881199,-0.142536063,5.647642276,-0.20076578,-0.223724516,-0.013405163,-0.198122806,3.192569493
79,0.208717505,0.063745047,-0.0506788,-0.271291632,-0.237322806,-0.241904952,-0.224222267,-0.256456394,-0.088282539,-0.238805997,-0.24762109,-0.218774333,-0.132865687,-0.136750604,-0.232296922,-0.247125553,8.135059458,0.24326249,-0.180926469,-0.189885239,-0.199375749,-0.182664302,3.137633817
242,-0.241225185,-0.180679189,-0.169499587,4.157584299,0.448624997,1.775137471,-0.190742041,-0.274363573,-0.314438113,6.70087831,0.44566703,-0.191587805,-0.263525823,-0.208947988,-0.247280889,-0.325851021,-0.263183972,-0.273079238,-0.213552951,-0.225572227,-0.251878947,-0.182162092,2.981488844
10,-0.306059865,-0.297265706,-0.192735481,0.003735783,0.073224952,-0.33110267,-0.294115254,-0.323621257,-0.325493832,0.125813121,-0.265501452,-0.256805828,4.318950226,0.613946365,0.171079235,6.569656664,1.569439618,-0.296134345,0.600961126,0.352434298,-0.29992311,1.886388693,2.947211758
296,-0.125729971,-0.121189796,-0.142562877,2.952071517,4.790907575,4.04759763,2.436762998,4.069715091,3.188492444,2.211527736,0.862001555,0.96962933,-0.233132326,-0.187824132,-0.251966927,-0.298116476,-0.250252496,-0.237830533,0.37333382,0.139172926,-0.010171788,-0.196594696,2.940480669
190,4.220115452,3.474411766,-0.124328969,2.567179791,4.39799558,2.580307748,0.477195164,3.274968537,1.961457195,0.471851946,0.667908724,-0.11576142,-0.23645657,-0.094934579,-0.262126362,-0.24684355,-0.224414672,-0.286857735,-0.204348675,-0.236791796,-0.089989405,-0.070993793,2.695636432
182,-0.113565752,-0.133259316,-0.14192369,-0.277723681,-0.081478616,-0.172590508,-0.04252719,-0.243523728,-0.174811727,-0.157745879,-0.172914036,-0.205577202,0.669332467,-0.14681716,0.704262219,-0.099846148,-0.206469591,-0.208002005,-0.101600299,-0.16328875,7.515891615,0.112706565,2.677562899
269,4.066098816,0.835851395,6.040678094,-0.346451485,-0.242597309,-0.336258512,-0.306882611,-0.266678614,-0.325985368,-0.344506979,-0.293449266,-0.257265297,-0.272440017,-0.220485675,-0.249880191,-0.277207572,-0.263772358,-0.283693255,-0.216066637,-0.24226406,-0.200863622,-0.30329627,2.558714672
241,-0.307160578,-0.291100616,-0.187054566,4.024519622,-0.203479575,0.008943055,0.303767595,-0.320088985,-0.300937221,4.27118339,4.236286023,2.034809291,-0.279658741,-0.229718329,-0.27264101,-0.331674997,-0.298449484,-0.29637616,-0.222635633,-0.24603833,-0.299296092,-0.316543982,2.517628412
60,-0.307736013,-0.296647952,-0.182527103,-0.360361886,-0.296436024,-0.343860866,-0.265034765,-0.317658214,-0.32981994,-0.307945996,-0.290944429,-0.239349842,-0.277641675,1.068534911,0.071311636,7.000613646,0.661936513,0.42520559,-0.04061876,0.083849195,-0.30153481,-0.313826677,2.431128018
34,-0.270163066,-0.16447551,-0.176696693,-0.08260865,-0.068247304,0.080356611,0.519842804,0.008563311,-0.255825939,-0.1648424,-0.099606354,-0.100841435,0.907233335,2.341354549,1.680609563,-0.223901321,-0.231096957,2.016830386,0.159777182,0.938445551,6.040649688,2.782503024,2.278820474
147,-0.303775017,-0.296807745,-0.195077808,2.288052838,-0.2040541,0.488116535,0.198836811,-0.175518516,0.310664429,5.014122154,4.093275911,2.889892318,-0.2653742,-0.122865957,-0.225104082,-0.166405968,0.543323337,1.392227826,0.796055636,0.647492332,-0.028650014,0.500284459,2.211219254
93,5.053506833,4.942940192,0.03720757,1.923095991,1.286865831,2.096687372,0.281939166,1.427913552,2.035738128,0.452542604,0.492776917,0.233139283,2.105986792,0.433843737,-0.182490608,1.050873442,-0.075356226,-0.265826918,0.121391548,0.146823298,0.591650543,0.803809639,2.140904772
531,-0.289478742,-0.27042745,-0.184166638,-0.149279222,-0.003385211,-0.301262238,-0.316314816,-0.243405454,-0.299983721,0.099349307,-0.076376171,-0.222474057,1.461451844,-0.026289984,-0.275337573,-0.335618608,-0.304980214,-0.304334229,-0.121845611,-0.246626792,-0.319810468,6.227481611,1.977745512
98,-0.259699867,-0.252943388,-0.095764638,-0.293649083,1.019205599,1.767173122,0.881771914,1.799753015,2.376404718,-0.179236781,-0.274922345,-0.240447724,1.484816683,0.015275738,0.160818314,5.673947394,0.457759993,-0.013866168,-0.134628229,-0.148947712,-0.245929721,-0.202231467,1.950468751
445,-0.238540629,-0.21349102,-0.138320248,-0.325484787,-0.244418177,-0.306098017,-0.267541017,-0.277062178,-0.293786247,0.697639881,0.109851832,-0.195630501,5.649625474,-0.174822128,-0.205218931,-0.266908027,-0.23267505,-0.249263861,0.242906537,0.100404181,-0.14471848,2.779469481,1.886400121
281,-0.109864821,-0.141461666,-0.140626192,-0.304318455,-0.236476435,-0.207822633,-0.181882183,-0.23308824,-0.200255684,-0.200261341,-0.210368452,-0.189135269,0.371430701,0.35022374,-0.089285851,-0.166844741,-0.058775343,0.857339528,1.244020375,6.180686749,0.221807873,0.766536291,1.879751147
108,4.595642777,4.140690362,0.938500785,-0.159591475,-0.211762589,-0.258919712,-0.253426112,-0.119308885,-0.131403522,-0.269218217,-0.248782901,-0.22085686,-0.20598863,-0.183391519,-0.246795663,-0.302691154,-0.229198591,-0.228007325,-0.202896782,-0.21013684,-0.078962302,-0.238575333,1.837142907
495,-0.207228895,-0.188948332,-0.157603776,-0.336701017,-0.289852636,-0.297374714,-0.26648485,-0.301850604,-0.275088316,-0.290999073,-0.258609472,-0.218807285,-0.174794441,-0.080003934,5.060541585,-0.146882593,-0.168016989,3.388127558,-0.116928308,0.574397036,-0.226897799,0.894631347,1.790814693
178,-0.311560509,-0.298796343,-0.196587775,-0.372251636,-0.301384667,-0.344599231,-0.238602858,-0.327259435,-0.25928613,-0.352821798,-0.302071266,-0.258762304,-0.29268084,-0.235121759,5.407398551,-0.155309403,-0.298987961,2.412485251,-0.226688898,-0.204272383,-0.319933306,-0.327253286,1.737382633
158,-0.304969896,-0.300736226,-0.193065127,-0.340651652,-0.306682268,-0.339261389,-0.316339856,-0.327492351,-0.309163543,-0.20505236,0.062080887,-0.177234751,-0.081468019,-0.187578777,-0.228632362,-0.302393809,-0.207522516,-0.287131251,-0.174062739,-0.232526353,-0.1119241,5.906914942,1.72271518
366,-0.296841193,-0.251176431,5.72951301,-0.35649116,-0.272004448,-0.345522737,-0.306478596,-0.324069378,-0.307744587,-0.328793292,-0.297583654,-0.255879639,-0.286085138,-0.230903395,-0.268598643,-0.320403884,-0.29533183,-0.298023507,-0.216878841,-0.242461428,-0.299274928,-0.320816689,1.649148166
447,-0.235936427,-0.106656098,-0.029779196,0.030496601,0.015007534,0.596628724,1.672711328,-0.050705605,0.630555936,0.340919602,0.177992973,0.627237706,0.454191739,0.058648495,1.138798072,1.524694615,0.874907348,2.835749564,2.611923772,1.325717344,5.15320574,0.254574524,1.619080845
406,-0.274989955,-0.270707723,-0.178598291,-0.366022196,-0.302604214,-0.330337405,-0.294284975,-0.314566997,-0.286416563,-0.277216945,-0.277969689,-0.248398854,0.38904911,4.434274554,0.189946955,0.593577748,2.953363142,1.822076635,0.249094629,0.101707267,-0.30360121,-0.310438879,1.498385902
104,3.026715362,1.97096646,-0.160559543,1.576225572,2.031805144,2.782751167,0.425949246,2.639604674,-0.074727358,1.672475983,0.374633494,1.431246385,-0.264077838,-0.22654653,-0.260645632,-0.32338373,-0.286129706,-0.278326279,-0.032851632,0.284370465,2.730459822,-0.176774109,1.496015987
245,-0.204937842,-0.085205215,-0.160726723,-0.32375167,-0.252277828,-0.305327822,-0.264618674,-0.311552006,-0.303013843,-0.029304448,-0.156247395,-0.206926597,3.631900876,1.419740223,1.98879822,2.523318734,2.189587837,1.272034667,0.046106335,0.049145457,1.466693875,2.305283355,1.466413519
336,2.500232571,3.203893289,0.040975061,-0.181459896,-0.097022369,-0.237824682,-0.198395991,-0.231030071,-0.153423158,0.34651895,-0.213015055,-0.194561854,2.484786202,0.610003878,0.069668921,3.465971492,0.832987677,-0.055733438,-0.097088497,-0.173082808,-0.010280988,-0.086314701,1.43336396
438,0.413602887,0.216769039,0.473039962,-0.369762202,-0.294423297,-0.314390718,-0.315489699,-0.322108346,-0.334340933,-0.011620997,-0.2735805,-0.259533079,1.855394654,0.932741945,-0.191904843,2.680057736,4.503237473,0.049990508,0.075410373,-0.06977355,-0.255354038,0.377859354,1.424692989
295,3.537165674,3.259107732,-0.134872436,-0.198238049,-0.160481859,-0.325256371,0.018396303,-0.034502063,-0.243262097,0.083832241,0.315076495,0.53995276,1.012511859,0.654998662,3.093376539,1.739862461,0.635869954,0.864187291,-0.067298997,0.036117509,-0.074847718,-0.231806491,1.415555427
312,-0.044153371,-0.179643576,-0.176269473,3.856050574,-0.120996597,-0.193467364,-0.273444809,-0.281548496,-0.318140141,1.950798639,3.052505293,1.425988099,-0.257241225,-0.220742479,-0.266336436,-0.303350325,-0.267896185,-0.28762021,-0.19116882,-0.224903758,-0.112566849,-0.244071711,1.389224855
254,0.066293798,0.317092388,-0.151549343,-0.289294924,-0.244073236,-0.290131368,-0.205144526,-0.289355327,-0.034479962,-0.198231936,-0.222148175,-0.197394529,-0.152430771,0.164798478,0.882687074,2.769788657,4.099644596,2.379439636,-0.145218414,-0.111936848,-0.291733586,-0.254073289,1.387433414
81,0.231030025,1.004339492,-0.189986556,-0.355820677,-0.268278202,-0.234423127,-0.29825032,-0.312942533,-0.331647607,-0.333956018,-0.292019987,-0.254479841,-0.01825151,-0.227382583,-0.2707035,-0.240838028,5.134801646,0.112420231,-0.21595495,-0.240493731,-0.312664477,-0.239902673,1.360829201
89,-0.158226824,1.564737611,1.967025249,2.455160465,1.842963804,2.039959624,0.463663687,2.45865367,3.091810599,0.658898094,-0.230835859,-0.224534846,-0.226565425,-0.199048839,-0.238834542,-0.259328488,-0.237061393,-0.260519432,-0.175043203,-0.220746737,-0.099566959,-0.225063079,1.3392409
387,3.625828412,3.815494413,0.544840698,0.025438975,0.04778255,0.088440616,0.044404503,1.073174274,0.01669928,0.135205774,-0.111913371,-0.111300096,-0.205686406,-0.225896725,-0.271029558,-0.328621872,-0.287329821,-0.292528853,-0.152374801,-0.144889607,-0.15362408,-0.318808746,1.319604543
246,-0.255842865,-0.226044269,-0.107818155,-0.314795759,-0.299688735,-0.283266216,-0.26398157,-0.321595141,-0.294742123,-0.316448379,-0.229353768,-0.21726136,-0.230224002,-0.188177483,-0.221161519,-0.237989682,-0.223220466,-0.261427395,3.947325161,3.146318661,0.213171681,-0.278018357,1.260978484
21,-0.307166951,-0.299620083,-0.194593649,-0.371499513,-0.301845258,-0.34268,-0.312523721,-0.323822149,-0.308335903,-0.272721228,-0.270187394,-0.260087624,0.791261383,1.887599389,0.921521904,-0.102773787,0.338811343,0.301740375,0.028320238,0.426160391,-0.262646564,4.523711281,1.227615238
50,-0.278370245,-0.27711785,-0.191731979,-0.341845338,-0.288542659,-0.337153368,-0.305071897,-0.319572343,-0.319128037,-0.169090116,-0.177844041,-0.211018189,1.961632626,2.076401015,-0.20396639,0.802607057,0.37499521,0.065206703,0.010499659,0.020895536,0.946683329,4.127491172,1.22019015
318,-0.252017079,-0.246252075,-0.166373316,1.281123734,2.709382287,1.522748252,0.688100747,3.812491653,1.233763977,0.858617909,0.352211986,0.127081413,-0.17151616,0.039140149,-0.231777388,-0.232238056,-0.191272785,-0.215820588,1.449040083,0.643823747,-0.129714755,-0.25710393,1.163642257
83,-0.294234197,-0.283864102,-0.184689235,-0.351486972,-0.266414224,-0.319281367,-0.298575377,-0.302646587,-0.302651016,-0.341950792,-0.285377077,-0.253426745,-0.250737174,-0.218688315,-0.265802988,-0.273512252,4.737516917,0.287803824,-0.208270627,-0.234397724,-0.300660864,-0.316689212,1.147240191
96,0.183993247,0.035719986,0.143603975,2.599703,1.583160098,3.285732541,1.666703639,1.130361851,2.267141371,0.419548095,-0.129499665,-0.157988652,-0.179147321,-0.1537517,-0.229073347,-0.236186913,-0.196883742,-0.191762955,-0.165838463,-0.206220024,-0.120034967,-0.044753655,1.145103271
31,2.778262554,3.842932335,-0.167153748,-0.364596708,-0.288335713,-0.33090826,-0.318233373,-0.323662894,-0.323478841,-0.331791494,-0.293287767,-0.252460811,-0.253148266,-0.237989413,-0.27260579,-0.323157464,-0.280461253,-0.299279724,-0.194854794,-0.219635701,0.152262133,-0.317490801,1.142956973
