,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,
11,-0.182894354,1.745773232,0.222118342,-0.226987555,-0.279009151,-0.208280639,1.988369566,0.212413166,-0.184738218,-0.175662141,-0.272572081,-0.222315241,-0.01330129,-0.156735659,0.547858979,-0.252276597,-0.207450781,0.072358772,-0.188719426,-0.230647031,-0.268077433,-0.050030243,0.379240121
12,-0.310858958,-0.300235596,-0.196535981,-0.373506821,-0.299521399,-0.344326818,-0.318017378,-0.326517686,-0.328928469,-0.350121706,-0.29436819,-0.260955559,-0.294118175,-0.238171925,-0.275556273,-0.084406187,1.353199739,-0.294703102,-0.225709647,-0.249281901,-0.153936092,-0.320720238,0.125482178
13,0.413602887,0.790276061,-0.143118836,-0.338044149,-0.269504853,-0.2758153,-0.280459557,-0.315837792,-0.269616952,-0.160590872,-0.245901596,-0.226187364,0.756722282,0.124996919,-0.253892619,-0.192706455,-0.240876282,-0.276798501,0.057337696,-0.039195532,0.376818243,0.702038385,0.139403571
14,-0.208920181,-0.207996649,0.688659849,-0.344516587,-0.272842763,-0.302472889,-0.273921339,-0.3065727,-0.300960731,-0.305924717,-0.283302684,-0.245185675,-0.246934805,-0.205695424,-0.259706568,-0.304849755,-0.257608153,-0.282016373,-0.205460939,-0.225826118,-0.267601775,-0.269813288,0.042850364
15,-0.306445766,-0.296817779,-0.131227831,-0.355541354,-0.297655913,-0.3257914,-0.252206954,-0.283358744,-0.325445627,-0.343551485,-0.302313317,-0.255874449,-0.2903204,-0.222978858,-0.271160079,-0.333503403,-0.298372084,-0.302374938,-0.215703279,-0.241796647,-0.31738155,-0.319072985,0.002576073
16,-0.200543509,-0.207474853,-0.164670743,-0.305615613,0.677407613,-0.102019242,-0.266030343,0.19366655,-0.279024046,-0.278325404,-0.274039968,-0.236578098,-0.232061793,-0.183839921,-0.250303821,-0.311633903,-0.246853039,-0.251487341,-0.161871503,-0.215377428,0.188396238,-0.184276759,0.051838399
17,-0.274302267,-0.26594247,-0.169859381,-0.345418292,-0.252304247,-0.321074354,-0.281369799,-0.298056229,-0.322040795,-0.035633539,-0.209121626,-0.223020542,0.989297999,-0.201656715,0.97486808,-0.251970189,-0.246917822,0.796787238,-0.198401736,-0.241063392,0.221614038,1.646814607,0.304953541
18,0.204371807,0.206849835,0.400380335,0.697471863,-0.130154679,0.985171398,0.752987419,-0.144238609,0.141769372,2.0464451,2.106654208,2.491937292,0.162574334,-0.111770933,0.011363834,-0.186797555,-0.192311534,0.275973841,0.051044034,-0.13467915,-0.177435134,-0.166848668,0.643143132
19,-0.225585317,-0.066643448,0.023251415,0.243709723,0.196846904,0.570882274,0.459148777,-0.161310183,0.148526004,0.164114341,0.142128924,0.04671238,0.234650632,-0.130428258,2.785020536,-0.080125725,-0.183078808,0.053274509,-0.111800567,-0.21758047,-0.27273564,-0.293672011,0.398912898
20,-0.308800728,-0.301206203,-0.196901972,-0.374189217,-0.303032528,-0.346365187,-0.281554722,-0.329438181,-0.333360304,-0.352222715,-0.300985882,-0.149229018,-0.29304048,-0.235158419,-0.007924553,-0.335899047,-0.303378498,-0.240611944,-0.22032256,-0.25017233,-0.321635346,-0.324615933,0.006644412
