GeneSymbol,Mix1,Mix2,Mix3,Mix4,Mix5
ABI1,1716.014572,1554.987529,1602.679249,1593.861801,1663.209622
ABI2,669.0682846,599.5966806,379.946619,624.5603062,400.0852144
ABL1,691.7787012,679.1693418,686.5320479,635.5810829,640.1948617
ABL2,290.9984112,272.616117,197.0995142,314.3039317,262.51626
ABLIM1,1722.007964,1647.341779,754.8300575,938.4417779,304.8576969
ABLIM3,25.80461929,25.19456551,17.819561,24.44618963,19.02597707
ABO,15.49067194,16.20802994,18.53754397,19.11564668,22.6126517
ABP1,115.3830954,120.2693556,91.00298319,187.6368065,201.209234
ABR,423.4400517,485.0482703,572.268047,483.7709882,733.6128845
ABT1,480.7299859,528.416437,649.2144526,408.2057027,519.0257668
ABTB2,327.6846432,389.5990025,294.5869526,613.3984216,756.5843341
ACAA1,716.5638694,835.8658315,712.4096198,1007.777509,1069.295693
ACAA2,340.6565555,514.9512407,1116.771094,342.0532457,885.9075798
ACACA,46.26676016,68.62369489,81.0336827,92.23509026,109.8350465
ACACB,187.6743186,209.8191693,120.4753155,229.6380641,209.1967432
ACAD10,211.3336672,257.6454323,171.8493283,212.2240315,236.2229617
ACAD8,509.3397843,491.0921828,425.557758,489.8697527,435.1612732
ACADL,52.35513185,45.21866247,39.80699337,52.85136246,39.26119221
ACADM,1317.732652,1123.674685,960.257876,991.1833548,663.1270243
ACADS,242.9829279,267.7177146,290.1372783,222.3567131,269.5240255
ACADSB,115.3200451,120.6274899,92.48704152,98.23074655,92.37791131
ACADVL,2852.412369,3362.316744,2396.956758,2483.715186,2269.517788
ACAN,150.1158048,156.5884967,141.9832663,215.8690701,227.8759565
ACAP1,622.0653007,656.9327774,466.7711047,416.3047121,348.8248412
ACAP2,1197.821235,1065.301395,1052.655642,1371.768573,1264.775047
ACAT1,1082.470371,1101.06403,854.9339247,820.2630055,732.9333187
ACAT2,640.9302391,632.4807983,816.335101,568.6313785,624.1571121
ACBD3,933.5341561,959.8465878,588.1698743,859.2051746,577.1137548
ACBD4,247.8211146,304.5383444,226.219098,174.551945,189.294548
ACCN1,46.24949571,48.86599504,33.36493583,47.02674706,38.73651583
ACCN2,186.6122763,185.8772705,95.41920996,182.1782951,116.0439436
ACCN3,332.6089729,311.7178917,189.3303277,351.0666572,240.2845603
ACCN4,42.33168822,46.23748222,50.69513006,58.7834689,62.75808515
